,Code,Year,Region,IncomeGroup,Continent,Area Lit,Electricity Consumption,CO2 Emissions,GDP,Population,Area Lit_lag_1,Area Lit_lag_2,Area Lit_diff,Electricity Consumption_lag_1,Electricity Consumption_lag_2,Electricity Consumption_diff,CO2 Emissions_lag_1,CO2 Emissions_lag_2,CO2 Emissions_diff,GDP_lag_1,GDP_lag_2,GDP_diff,Population_lag_1,Population_lag_2,Population_diff
2784,ABW,2001,Aruba,High income: nonOECD,Latin America & Caribbean,4.891689365745312,-0.347007539,14.67327389,0.652461932,11.43921434,4.869595900528695,4.683896967489284,0.022093465216617147,-0.387281438,-0.437854011,0.040273899,14.65759959,14.37464566,0.015674300000000585,0.627782993,0.543950226,0.024678939000000066,11.41705313,11.39643659,0.022161210000000153
2783,ABW,2002,Aruba,High income: nonOECD,Latin America & Caribbean,4.854578251490699,-0.327462942,14.67947546,0.663252232,11.46157954,4.891689365745312,4.869595900528695,-0.03711111425461233,-0.347007539,-0.387281438,0.019544596999999997,14.67327389,14.65759959,0.00620156999999999,0.652461932,0.627782993,0.01079030000000003,11.43921434,11.41705313,0.022365200000001195
2782,ABW,2003,Aruba,High income: nonOECD,Latin America & Caribbean,4.614269740894165,-0.307028004,14.6978527,0.703741698,11.48262088,4.854578251490699,4.891689365745312,-0.24030851059653457,-0.327462942,-0.347007539,0.020434937999999958,14.67947546,14.67327389,0.018377239999999517,0.663252232,0.652461932,0.04048946599999992,11.46157954,11.43921434,0.02104134000000002
2781,ABW,2004,Aruba,High income: nonOECD,Latin America & Caribbean,4.79016926127802,-0.279594862,14.699369,0.801229687,11.50026567,4.614269740894165,4.854578251490699,0.17589952038385537,-0.307028004,-0.327462942,0.02743314200000002,14.6978527,14.67947546,0.00151630000000047,0.703741698,0.663252232,0.097487989,11.48262088,11.46157954,0.017644789999998522
2780,ABW,2005,Aruba,High income: nonOECD,Latin America & Caribbean,4.690597210637455,-0.229224503,14.73069147,0.846299757,11.51323542,4.79016926127802,4.614269740894165,-0.09957205064056485,-0.279594862,-0.307028004,0.050370359,14.699369,14.6978527,0.031322469999999214,0.801229687,0.703741698,0.04507007000000007,11.50026567,11.48262088,0.012969750000001667
2779,ABW,2006,Aruba,High income: nonOECD,Latin America & Caribbean,4.763594844432052,-0.230394778,14.73069147,0.884376801,11.52119121,4.690597210637455,4.79016926127802,0.07299763379459634,-0.229224503,-0.279594862,-0.0011702749999999984,14.73069147,14.699369,0.0,0.846299757,0.801229687,0.038077044000000004,11.51323542,11.50026567,0.007955789999998686
2778,ABW,2007,Aruba,High income: nonOECD,Latin America & Caribbean,4.792159651696535,-0.200404064,14.76815983,0.964595543,11.52503189,4.763594844432052,4.690597210637455,0.028564807264483072,-0.230394778,-0.229224503,0.029990714,14.73069147,14.73069147,0.03746836000000009,0.884376801,0.846299757,0.08021874200000001,11.52119121,11.51323542,0.0038406799999997077
2777,ABW,2008,Aruba,High income: nonOECD,Latin America & Caribbean,4.753183518986803,-0.22455705,14.73508709,1.026744178,11.52625621,4.792159651696535,4.763594844432052,-0.03897613270973199,-0.200404064,-0.230394778,-0.024152986000000015,14.76815983,14.73069147,-0.03307273999999971,0.964595543,0.884376801,0.0621486349999999,11.52503189,11.52119121,0.0012243200000003895
2776,ABW,2009,Aruba,High income: nonOECD,Latin America & Caribbean,4.661224094166031,-0.179042937,14.74091801,0.915863825,11.52698615,4.753183518986803,4.792159651696535,-0.09195942482077157,-0.22455705,-0.200404064,0.045514112999999995,14.73508709,14.76815983,0.0058309199999992956,1.026744178,0.964595543,-0.11088035299999999,11.52625621,11.52503189,0.0007299400000011502
2775,ABW,2010,Aruba,High income: nonOECD,Latin America & Caribbean,4.782061553166398,-0.088700075,14.71440688,0.903288127,11.52876929,4.661224094166031,4.753183518986803,0.12083745900036647,-0.179042937,-0.22455705,0.09034286200000001,14.74091801,14.73508709,-0.026511129999999383,0.915863825,1.026744178,-0.012575697999999913,11.52698615,11.52625621,0.0017831399999987951
2774,ABW,2011,Aruba,High income: nonOECD,Latin America & Caribbean,4.7941902896302135,-0.0927734,14.70691621,0.949518015,11.53210044,4.782061553166398,4.661224094166031,0.012128736463815848,-0.088700075,-0.179042937,-0.004073325000000003,14.71440688,14.74091801,-0.007490670000001032,0.903288127,0.915863825,0.04622988799999994,11.52876929,11.52698615,0.0033311500000010597
2773,ABW,2012,Aruba,High income: nonOECD,Latin America & Caribbean,4.798166629691826,-0.082621029,14.079246957546742,,11.53657363,4.7941902896302135,4.782061553166398,0.0039763400616124045,-0.0927734,-0.088700075,0.010152371000000007,14.70691621,14.71440688,-0.6276692524532574,0.949518015,0.903288127,,11.53210044,11.52876929,0.0044731899999987945
